Discipline,Semester,Category,Credits,Course Code,Course Title,Mandatory,Weightage,Hardness
FYUGP Chemistry,5,DSE,2,UK5DSECHE312,CHEMISTRY OF NANOMATERIALS - III,0.0,0.2,0.4
FYUGP Chemistry,5,DSE,2,UK5DSECHE311,FORENSIC CHEMISTRY - IV,0.0,0.2,0.4
FYUGP Chemistry,5,DSE,2,UK5DSECHE310,FORENSIC CHEMISTRY - III,0.0,0.2,0.4
FYUGP Chemistry,5,DSE,2,UK5DSECHE309,POLYMER CHEMISTRY - IV,0.0,0.2,0.4
FYUGP Chemistry,5,DSE,2,UK5DSECHE308,POLYMER CHEMISTRY- III,0.0,0.2,0.4
FYUGP Chemistry,5,DSE,2,UK5DSECHE307,INDUSTRIAL CHEMISTRY - IV,0.0,0.2,0.4
FYUGP Chemistry,5,DSE,2,UK5DSECHE306,INDUSTRIAL CHEMISTRY- III,0.0,0.2,0.4
FYUGP Chemistry,5,DSE,2,UK5DSECHE305,ANALYTICAL CHEMISTRY - IV,0.0,0.2,0.4
FYUGP Chemistry,5,DSE,2,UK5DSECHE304,ANALYTICAL CHEMISTRY- III,0.0,0.2,0.4
FYUGP Chemistry,5,DSE,2,UK5DSECHE303,CHEMISTRY FOR RENEWABLE & CLEAN ENERGY - IV,0.0,0.2,0.4
Business Information,3,DSE,2,UK3DSECOM201,Conceptual Framework of Co-operation,0.0,0.2,0.4
Business Information,3,DSE,2,UK3DSECOM200,Investment Management,0.0,0.2,0.4
FYUGP Chemistry,7,DSE,2,UK7DSECHE400,RESEARCH METHODOLOGY & ETHICS,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE315,MEDICINAL & PHARMACEUTICAL CHEMISTRY - VI,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE314,MEDICINAL & PHARMACEUTICAL CHEMISTRY - V,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE313,CHEMISTRY OF NANOMATERIALS - VI,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE312,CHEMISTRY OF NANOMATERIALS - V,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE311,FORENSIC CHEMISTRY - VI,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE310,FORENSIC CHEMISTRY - V,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE309,POLYMER CHEMISTRY - VI,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE308,POLYMER CHEMISTRY - V,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE307,INDUSTRIAL CHEMISTRY - VI,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE306,INDUSTRIAL CHEMISTRY - V,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE305,ANALYTICAL CHEMISTRY - VI,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE304,ANALYTICAL CHEMISTRY - V,0.0,0.2,0.4
FYUGP Chemistry,6,DSE,2,UK6DSECHE303,CHEMISTRY FOR RENEWABLE & CLEAN ENERGY - VI,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM301,FINTECH,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM300,Stock Exchanges: Operations and Regulations,0.0,0.2,0.4
Business Information,4,DSE,2,UK4DSECOM207,Tourism Geography,0.0,0.2,0.4
Business Information,4,DSE,2,UK4DSECOM206,Fundamentals of Supply Chain Management,0.0,0.2,0.4
Business Information,4,DSE,2,UK4DSECOM205,Theory and Practice of Personal Income Tax,0.0,0.2,0.4
Business Information,4,DSE,2,UK4DSECOM204,Brand Management,0.0,0.2,0.4
Business Information,4,DSE,2,UK4DSECOM203,Software for Data Analysis,0.0,0.2,0.4
Business Information,4,DSE,2,UK4DSECOM202,Legal Framework of International Business,0.0,0.2,0.4
Business Information,4,DSE,2,UK4DSECOM201,Co-operation and Community Development,0.0,0.2,0.4
Business Information,4,DSE,2,UK4DSECOM200,Financial Markets and Services,0.0,0.2,0.4
Business Information,3,DSE,2,UK3DSECOM207,Principles and Practices of Tourism,0.0,0.2,0.4
Business Information,3,DSE,2,UK3DSECOM206,Introduction to Logistics Management,0.0,0.2,0.4
Business Information,3,DSE,2,UK3DSECOM205,Introduction to Indian Taxation System,0.0,0.2,0.4
Business Information,3,DSE,2,UK3DSECOM204,Consumer Behaviour,0.0,0.2,0.4
Business Information,3,DSE,2,UK3DSECOM203,Computer Application in Business,0.0,0.2,0.4
Business Information,3,DSE,2,UK3DSECOM202,International Business,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM301,Financial Derivatives,0.0,0.2,0.4
Business Information,6,DSE,2,UK6DSECOM300,Security Analysis and Portfolio Management,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM315,MICE Tourism,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM314,Tourism Products,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM313,Warehousing,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM312,Procurement and Transportation,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM311,Essentials of Goods and Service Tax,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM310,Income Tax Assessment,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM309,Advertising and Sales Promotion,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM308,Retail Management,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM307,Project Methodology,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM306,Computerised Accounting,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM305,International Financial Management,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM304,Export Import Management,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM303,Co-operative Legal Framework,0.0,0.2,0.4
Business Information,5,DSE,2,UK5DSECOM302,Global Perspectives in Co-operatives,0.0,0.2,0.4
Business Information,7,DSE,2,UK7DSECOM401,Co-operative Research and Digital Application,0.0,0.2,0.4
